type,pts,pos,tm,opp,id,q,init
2f1,0,1,SAC,POR,20111227SACPOR,q2,0
2f1,0,2,SAC,POR,20111227SACPOR,q3,1
2f1,2,2,POR,SAC,20111227SACPOR,q3,0
2f1,0,2,UTA,LAL,20111227UTALAL,q1,1
2f1,0,2,LAL,UTA,20111227UTALAL,q1,0
1f1,2,1,UTA,LAL,20111227UTALAL,q2,1
1f1,2,1,LAL,UTA,20111227UTALAL,q2,0
2f1,2,2,UTA,LAL,20111227UTALAL,q3,1
2f1,0,1,LAL,UTA,20111227UTALAL,q3,0
2f1,0,2,BOS,NOH,20111228BOSNOH,q1,1
2f1,0,2,NOH,BOS,20111228BOSNOH,q1,0
2f1,2,2,NOH,BOS,20111228BOSNOH,q2,1
2f1,4,2,BOS,NOH,20111228BOSNOH,q2,0
2f1,2,2,BOS,NOH,20111228BOSNOH,q3,1
2f1,0,1,NOH,BOS,20111228BOSNOH,q3,0
2f1,2,2,CLE,DET,20111228CLEDET,q1,1
2f1,3,1,DET,CLE,20111228CLEDET,q1,0
1f1,2,2,CLE,DET,20111228CLEDET,q2,1
1f1,3,2,DET,CLE,20111228CLEDET,q2,0
2f1,1,2,DET,CLE,20111228CLEDET,q3,1
2f1,2,2,CLE,DET,20111228CLEDET,q3,0
1f1,0,2,TOR,IND,20111228INDTOR,q1,1
1f1,1,1,IND,TOR,20111228INDTOR,q1,0
2f1,0,2,IND,TOR,20111228INDTOR,q2,1
2f1,2,2,TOR,IND,20111228INDTOR,q2,0
1f1,0,2,IND,TOR,20111228INDTOR,q3,1
1f1,2,2,TOR,IND,20111228INDTOR,q3,0
1f1,0,2,SAS,LAC,20111228LACSAS,q1,1
1f1,2,1,LAC,SAS,20111228LACSAS,q1,0
2f1,6,2,SAS,LAC,20111228LACSAS,q2,1
2f1,2,2,LAC,SAS,20111228LACSAS,q2,0
2f1,5,2,SAS,LAC,20111228LACSAS,q3,1
2f1,0,1,LAC,SAS,20111228LACSAS,q3,0
2f1,3,2,CHA,MIA,20111228MIACHA,q1,1
2f1,0,1,MIA,CHA,20111228MIACHA,q1,0
2f1,6,2,CHA,MIA,20111228MIACHA,q2,1
2f1,1,1,MIA,CHA,20111228MIACHA,q2,0
2f1,0,2,MIA,CHA,20111228MIACHA,q3,1
2f1,0,1,CHA,MIA,20111228MIACHA,q3,0
1f1,2,2,GSW,NYK,20111228NYKGSW,q1,1
1f1,0,1,NYK,GSW,20111228NYKGSW,q1,0
2f1,2,2,GSW,NYK,20111228NYKGSW,q2,1
2f1,3,1,NYK,GSW,20111228NYKGSW,q2,0
2f1,3,2,GSW,NYK,20111228NYKGSW,q3,1
2f1,2,1,NYK,GSW,20111228NYKGSW,q3,0
1f1,0,2,MEM,OKC,20111228OKCMEM,q1,1
1f1,0,1,OKC,MEM,20111228OKCMEM,q1,0
2f1,2,2,OKC,MEM,20111228OKCMEM,q2,1
2f1,0,1,MEM,OKC,20111228OKCMEM,q2,0
1f1,3,1,MEM,OKC,20111228OKCMEM,q3,1
1f1,0,1,OKC,MEM,20111228OKCMEM,q3,0
1f1,2,1,PHX,PHI,20111228PHIPHX,q1,1
1f1,2,1,PHI,PHX,20111228PHIPHX,q1,0
2f1,3,2,PHI,PHX,20111228PHIPHX,q2,1
2f1,0,1,PHX,PHI,20111228PHIPHX,q2,0
2f1,3,2,PHI,PHX,20111228PHIPHX,q3,1
2f1,2,2,PHX,PHI,20111228PHIPHX,q3,0
1f1,3,2,UTA,DEN,20111228UTADEN,q1,1
1f1,2,1,DEN,UTA,20111228UTADEN,q1,0
